Distance_(mm),Gray_Value
3.2643,24.3537
3.2704,24.0786
3.2765,23.9059
3.2825,23.7186
3.2886,23.5148
3.2947,23.3511
3.3008,23.2938
3.3069,23.3508
3.3129,23.2894
3.3190,23.2748
3.3251,23.2422
3.3312,23.2818
3.3372,23.3971
3.3433,23.4875
3.3494,23.5652
3.3555,23.6600
3.3616,23.6725
3.3676,23.5683
3.3737,23.5050
3.3798,23.4972
3.3859,23.5735
3.3920,23.5515
3.3980,23.3881
3.4041,23.3816
3.4102,23.5377
3.4163,23.6658
3.4224,23.7795
3.4284,24.0222
3.4345,24.1108
3.4406,23.9798
3.4467,23.9095
3.4527,23.8961
3.4588,23.9073
3.4649,23.7512
3.4710,23.5215
3.4771,23.4001
3.4831,23.3075
3.4892,23.4369
3.4953,23.7491
3.5014,24.0285
3.5075,24.1751
3.5135,24.2766
3.5196,24.4326
3.5257,24.3656
3.5318,24.1305
3.5378,23.7777
3.5439,23.4583
3.5500,23.4451
3.5561,23.5738
3.5622,23.4882
3.5682,23.2534
3.5743,22.9795
3.5804,22.7824
3.5865,22.6734
3.5926,22.5844
3.5986,22.4307
3.6047,22.0979
3.6108,21.9879
3.6169,22.2784
3.6229,23.0971
3.6290,24.2674
3.6351,25.2635
3.6412,25.2327
3.6473,24.3571
3.6533,23.1940
3.6594,22.1856
3.6655,21.3248
3.6716,20.7879
3.6777,20.5755
3.6837,20.4636
3.6898,20.2980
3.6959,20.1391
3.7020,20.0677
3.7081,20.1373
3.7141,20.3489
3.7202,20.7267
3.7263,21.1620
3.7324,21.4765
3.7384,21.6763
3.7445,21.6585
3.7506,21.6160
3.7567,21.5769
3.7628,21.4093
3.7688,21.1334
3.7749,21.1281
3.7810,21.0901
3.7871,20.8655
3.7932,20.6492
3.7992,20.7072
3.8053,21.0375
3.8114,21.5180
3.8175,21.9431
3.8235,21.9691
3.8296,21.8529
3.8357,21.7154
3.8418,21.6657
3.8479,21.6684
3.8539,21.5429
3.8600,21.3603
3.8661,21.1880
3.8722,21.1282
3.8783,21.3027
3.8843,21.5179
3.8904,21.6380
3.8965,21.6698
3.9026,21.6607
3.9087,21.5534
3.9147,21.5393
3.9208,21.5987
3.9269,21.5180
3.9330,21.2125
3.9390,20.7242
3.9451,20.1837
3.9512,19.7131
3.9573,19.4462
3.9634,19.4443
3.9694,19.6074
3.9755,19.6770
3.9816,19.5836
3.9877,19.5194
3.9938,19.4907
3.9998,19.6526
